similar_product,similar_inv_scancode,similar_inv_pk,similarity_score,similar_brd_name,similar_dpt_name,original_product,inv_pk,brd_name,inv_scancode
machu picchu whole bean coffee og,1022596,8.97E+11,0.9675843,Pachamama                     ,Packaged Grocery              ,almond salt 70% dark chocolate bar,49588,Four Sigmatic                 ,8.17E+11
matcha latte mushroom mix,49589,8.17E+11,0.9788016,Four Sigmatic                 ,Supplements                   ,almond salt 70% dark chocolate bar,49588,Four Sigmatic                 ,8.17E+11
coffee mushroom mix,47571,4.90E+12,1.0000001,Four Sigmatic                 ,Supplements                   ,almond salt 70% dark chocolate bar,49588,Four Sigmatic                 ,8.17E+11
coffee instant regular og,46990,8.19E+11,0.96282464,Mount Hagen                   ,Packaged Grocery              ,almond salt 70% dark chocolate bar,49588,Four Sigmatic                 ,8.17E+11
coffee instant decaffeinated,46989,8.19E+11,0.96282464,Mount Hagen                   ,Packaged Grocery              ,almond salt 70% dark chocolate bar,49588,Four Sigmatic                 ,8.17E+11
machu picchu whole bean coffee og,1022596,8.97E+11,0.96879256,Pachamama                     ,Packaged Grocery              ,chips tortilla blue corn nsalt,49589,Four Sigmatic                 ,8.17E+11
coffee grnd midnite sun og bag,66883,7.46E+11,0.96069914,Equal Exchange                ,Packaged Grocery              ,chips tortilla blue corn nsalt,49589,Four Sigmatic                 ,8.17E+11
coffee adaptogen mix,49588,8.17E+11,0.9788016,Four Sigmatic                 ,Supplements                   ,chips tortilla blue corn nsalt,49589,Four Sigmatic                 ,8.17E+11
coffee mushroom mix,47571,4.90E+12,0.9788016,Four Sigmatic                 ,Supplements                   ,chips tortilla blue corn nsalt,49589,Four Sigmatic                 ,8.17E+11
golden latte shiitake turmeric,47305,8.17E+11,0.97574294,Four Sigmatic                 ,Supplements                   ,chips tortilla blue corn nsalt,49589,Four Sigmatic                 ,8.17E+11
fennel bulbs,853398,4515,0.9668345,Mud Creek Farms               ,Produce                       ,sea salt iodized,12138,Produce                       ,94610
organic garlic 3pk,830444,74574111110,0.9872719,Christopher Ranch             ,Produce                       ,sea salt iodized,12138,Produce                       ,94610
organic green meat daikon,452315,96487,0.9720479,Produce                       ,Produce                       ,sea salt iodized,12138,Produce                       ,94610
organic purple daikon,315716,94599,0.97567034,Produce                       ,Produce                       ,sea salt iodized,12138,Produce                       ,94610
organic ailsa onions,105671,94164,0.97869194,Stick-n-Stone Farm            ,Produce                       ,sea salt iodized,12138,Produce                       ,94610
organic cilantro leaf,586076,7748,0.9690213,Frontier Coop                 ,Bulk                          ,sea salt,9863,Frontier Coop                 ,7077
organic eucalyptus leaf,134418,7744,0.982713,Frontier Coop                 ,Bulk                          ,sea salt,9863,Frontier Coop                 ,7077
gentian root,134417,7743,0.9681319,Frontier Coop                 ,Bulk                          ,sea salt,9863,Frontier Coop                 ,7077
white willow bark,134313,7742,0.9606643,Frontier Coop                 ,Bulk                          ,sea salt,9863,Frontier Coop                 ,7077
peppercorns black,67262,7156,0.98158735,Frontier Coop                 ,Bulk                          ,sea salt,9863,Frontier Coop                 ,7077
vegan oyster sauce,1245086,41224870758,0.9770603,Roland                        ,Packaged Grocery              ,organic whole allspice,49646,Abundance Bakery              ,11407
oyster sauce,1245039,78895300017,0.9770603,Lee Kum Kee                   ,Packaged Grocery              ,organic whole allspice,49646,Abundance Bakery              ,11407
jerk sauce,553283,40099267830,0.9770603,Boss Sauces                   ,Packaged Grocery              ,organic whole allspice,49646,Abundance Bakery              ,11407
zhug hot sauce,520242,8.63E+11,1,Blank Slate                   ,Packaged Grocery              ,organic whole allspice,49646,Abundance Bakery              ,11407
sichuan chili oil,520240,8.63E+11,1,Blank Slate                   ,Packaged Grocery              ,organic whole allspice,49646,Abundance Bakery              ,11407
vegan oyster sauce,1245086,41224870758,0.9770603,Roland                        ,Packaged Grocery              ,apple pie spice og,49648,Pepper Nutz                   ,11409
oyster sauce,1245039,78895300017,0.9770603,Lee Kum Kee                   ,Packaged Grocery              ,apple pie spice og,49648,Pepper Nutz                   ,11409
jerk sauce,553283,40099267830,0.9770603,Boss Sauces                   ,Packaged Grocery              ,apple pie spice og,49648,Pepper Nutz                   ,11409
zhug hot sauce,520242,8.63E+11,1,Blank Slate                   ,Packaged Grocery              ,apple pie spice og,49648,Pepper Nutz                   ,11409
sichuan chili oil,520240,8.63E+11,1,Blank Slate                   ,Packaged Grocery              ,apple pie spice og,49648,Pepper Nutz                   ,11409
vegan oyster sauce,1245086,41224870758,0.9770603,Roland                        ,Packaged Grocery              ,organic astragalus root powder,49649,Abundance Bakery              ,11410
oyster sauce,1245039,78895300017,0.9770603,Lee Kum Kee                   ,Packaged Grocery              ,organic astragalus root powder,49649,Abundance Bakery              ,11410
jerk sauce,553283,40099267830,0.9770603,Boss Sauces                   ,Packaged Grocery              ,organic astragalus root powder,49649,Abundance Bakery              ,11410
zhug hot sauce,520242,8.63E+11,1,Blank Slate                   ,Packaged Grocery              ,organic astragalus root powder,49649,Abundance Bakery              ,11410
sichuan chili oil,520240,8.63E+11,1,Blank Slate                   ,Packaged Grocery              ,organic astragalus root powder,49649,Abundance Bakery              ,11410
vegan oyster sauce,1245086,41224870758,0.9770603,Roland                        ,Packaged Grocery              ,organic sweet basil leaf,49650,Abundance Bakery              ,11411
oyster sauce,1245039,78895300017,0.9770603,Lee Kum Kee                   ,Packaged Grocery              ,organic sweet basil leaf,49650,Abundance Bakery              ,11411
jerk sauce,553283,40099267830,0.9770603,Boss Sauces                   ,Packaged Grocery              ,organic sweet basil leaf,49650,Abundance Bakery              ,11411
zhug hot sauce,520242,8.63E+11,1,Blank Slate                   ,Packaged Grocery              ,organic sweet basil leaf,49650,Abundance Bakery              ,11411
sichuan chili oil,520240,8.63E+11,1,Blank Slate                   ,Packaged Grocery              ,organic sweet basil leaf,49650,Abundance Bakery              ,11411
organic black lentils,661931,6884,0.98257565,Abundance Bulk                ,Bulk                          ,organic dill seed,9451,Abundance Bulk                ,6804
beans black og,59528,75239004143,0.98192525,Woodstock                     ,Bulk                          ,organic dill seed,9451,Abundance Bulk                ,6804
organic pinto beans,28528,6827,0.98667586,Abundance Bulk                ,Bulk                          ,organic dill seed,9451,Abundance Bulk                ,6804
beans black turtle og,28526,6825,0.9820321,Abundance Bulk                ,Bulk                          ,organic dill seed,9451,Abundance Bulk                ,6804
organic red chili beans,25578,6823,0.9775566,Abundance Bulk                ,Bulk                          ,organic dill seed,9451,Abundance Bulk                ,6804
farro pearled,37517,6220,0.9620867,Abundance Bulk                ,Bulk                          ,elderberries dried whole og,9571,Abundance Bulk                ,6412
organic multi color popcorn,37436,6455,0.9626196,Abundance Bulk                ,Bulk                          ,elderberries dried whole og,9571,Abundance Bulk                ,6412
organic pearled barley,13845,6440,0.96784985,Abundance Bulk                ,Bulk                          ,elderberries dried whole og,9571,Abundance Bulk                ,6412
organic wheat bran,9585,6426,0.97574085,Abundance Bulk                ,Bulk                          ,elderberries dried whole og,9571,Abundance Bulk                ,6412
organic rye berries,9578,6419,0.9699566,Abundance Bulk                ,Bulk                          ,elderberries dried whole og,9571,Abundance Bulk                ,6412
quinoa tricolor og,41669,6457,0.98325765,Abundance Bulk                ,Bulk                          ,organic garam masala,9577,Abundance Bulk                ,6418
organic pearled barley,13845,6440,0.96174675,Abundance Bulk                ,Bulk                          ,organic garam masala,9577,Abundance Bulk                ,6418
organic wheat bran,9585,6426,0.9687028,Abundance Bulk                ,Bulk                          ,organic garam masala,9577,Abundance Bulk                ,6418
organic rye berries,9578,6419,0.9651867,Abundance Bulk                ,Bulk                          ,organic garam masala,9577,Abundance Bulk                ,6418
organic yellow popcorn,9576,6417,0.96627593,Abundance Bulk                ,Bulk                          ,organic garam masala,9577,Abundance Bulk                ,6418
farro pearled,37517,6220,0.97052836,Abundance Bulk                ,Bulk                          ,organic whole german chamomile flowers,9578,Abundance Bulk                ,6419
organic multi color popcorn,37436,6455,0.9749915,Abundance Bulk                ,Bulk                          ,organic whole german chamomile flowers,9578,Abundance Bulk                ,6419
organic pearled barley,13845,6440,0.98172325,Abundance Bulk                ,Bulk                          ,organic whole german chamomile flowers,9578,Abundance Bulk                ,6419
organic wheat bran,9585,6426,0.9896218,Abundance Bulk                ,Bulk                          ,organic whole german chamomile flowers,9578,Abundance Bulk                ,6419
soft white wheat berries og,9584,6425,0.9668416,Natural Choice                ,Bulk                          ,organic whole german chamomile flowers,9578,Abundance Bulk                ,6419
4 piece pale ale,1318958,8.50E+11,0.9699378,Prison City                   ,Beer                          ,organic herbes de provence,49705,Young Lion                    ,40232643101
nighthawk hazy ipa,1318902,6.53E+11,0.9613149,Three Heads Brewing           ,Beer                          ,organic herbes de provence,49705,Young Lion                    ,40232643101
the kind ipa,1318901,6.53E+11,0.96803457,Three Heads Brewing           ,Beer                          ,organic herbes de provence,49705,Young Lion                    ,40232643101
nitro stout,1244892,8.50E+11,0.9691318,Lawson's Finest Liquids       ,Beer                          ,organic herbes de provence,49705,Young Lion                    ,40232643101
green dots beer,1171877,8.50E+11,0.9704999,Other Half                    ,Beer                          ,organic herbes de provence,49705,Young Lion                    ,40232643101
yellow corn chips og,670030,36593120016,0.96549577,R  W  Garcia                  ,Packaged Grocery              ,organic hibiscus flowers,49712,Late July Snacks              ,8.15E+11
chips tortilla sea salt lime,43540,8.15E+11,0.99561024,Late July Snacks              ,Packaged Grocery              ,organic hibiscus flowers,49712,Late July Snacks              ,8.15E+11
chip tortilla chia quinoa,43487,8.15E+11,0.9795145,Late July Snacks              ,Packaged Grocery              ,organic hibiscus flowers,49712,Late July Snacks              ,8.15E+11
chip tortilla sea salt og,43486,8.15E+11,0.9938783,Late July Snacks              ,Packaged Grocery              ,organic hibiscus flowers,49712,Late July Snacks              ,8.15E+11
hearty flaxseed bread,1318956,31711000409,0.96218175,Heidelberg                    ,Packaged Grocery              ,lavender flowers,49717,Monks' Bread                  ,41678215556
seedless rye bread,1167782,7.38E+11,0.98714495,Al Cohen's                    ,Packaged Grocery              ,lavender flowers,49717,Monks' Bread                  ,41678215556
seeded rye bread,1167781,7.38E+11,0.98756385,Al Cohen's                    ,Packaged Grocery              ,lavender flowers,49717,Monks' Bread                  ,41678215556
ciabatta bread,585875,7.92E+11,0.975768,Das Brot                      ,Packaged Grocery              ,lavender flowers,49717,Monks' Bread                  ,41678215556
seedless rye bread,486221,31711000737,0.98714495,Heidelberg                    ,Packaged Grocery              ,lavender flowers,49717,Monks' Bread                  ,41678215556
bread white,49716,41678526515,0.9600291,Monks' Bread                  ,Packaged Grocery              ,organic marjoram leaf,49718,Monks' Bread                  ,41678123714
vitamin b-12 spray og,39271,6.58E+11,0.9666806,Garden Of Life                ,Supplements                   ,organic minced garlic,34001,Abundance Supplements         ,7.88E+11
liquid vitamin b-complex,36772,83000261053,0.9675848,Nature's Answer               ,Supplements                   ,organic minced garlic,34001,Abundance Supplements         ,7.88E+11
biotin 5000 mcg,29872,7.88E+11,0.96426606,Abundance Supplements         ,Supplements                   ,organic minced garlic,34001,Abundance Supplements         ,7.88E+11
vitamin b-12 lozenges,18179,15794062950,0.97014433,AMAZING NUTRITION             ,Supplements                   ,organic minced garlic,34001,Abundance Supplements         ,7.88E+11
vitamin d3 2000iu,553186,51494102213,0.97670144,Megafood                      ,Supplements                   ,organic mullein leaf,29869,Abundance Supplements         ,7.88E+11
vitamin d3 5000iu,553173,51494104385,0.98045325,Megafood                      ,Supplements                   ,organic mullein leaf,29869,Abundance Supplements         ,7.88E+11
calcium magnesium & vitamin d,553060,33674414200,0.96850437,Nature's Way                  ,Supplements                   ,organic mullein leaf,29869,Abundance Supplements         ,7.88E+11
easy iron supplement,520292,7.88E+11,0.9640173,Abundance Supplements         ,Supplements                   ,organic mullein leaf,29869,Abundance Supplements         ,7.88E+11
b-100 complex,520244,33674405208,0.97257495,Nature's Way                  ,Supplements                   ,organic mullein leaf,29869,Abundance Supplements         ,7.88E+11
mixed nut treats,486142,6736,0.96033883,Abundance Bulk                ,Bulk                          ,organic fair trade ground nutmeg,49740,Abundance Bulk                ,6866
almonds roasted salted conv,49741,6867,0.9967202,Abundance Bulk                ,Bulk                          ,organic fair trade ground nutmeg,49740,Abundance Bulk                ,6866
hazelnuts raw,41904,6644,0.9610635,Abundance Bulk                ,Bulk                          ,organic fair trade ground nutmeg,49740,Abundance Bulk                ,6866
cashews roasted salted,40524,6732,0.9847845,Abundance Bulk                ,Bulk                          ,organic fair trade ground nutmeg,49740,Abundance Bulk                ,6866
roasted salted pumpkin seeds,37328,6730,0.97196543,Partyka Farms                 ,Bulk                          ,organic fair trade ground nutmeg,49740,Abundance Bulk                ,6866
almonds roasted no salt conv,49740,6866,0.9967202,Abundance Bulk                ,Bulk                          ,organic pickling spice,49741,Abundance Bulk                ,6867
cashews roasted salted,40524,6732,0.9821836,Abundance Bulk                ,Bulk                          ,organic pickling spice,49741,Abundance Bulk                ,6867
roasted salted pumpkin seeds,37328,6730,0.9660475,Partyka Farms                 ,Bulk                          ,organic pickling spice,49741,Abundance Bulk                ,6867
organic roasted almonds,28303,6697,0.9659431,Equal Exchange                ,Bulk                          ,organic pickling spice,49741,Abundance Bulk                ,6867
raw almonds,9619,6652,0.9615027,Abundance Bulk                ,Bulk                          ,organic pickling spice,49741,Abundance Bulk                ,6867
semi sweet chocolate chips,52524,759,1.0000001,Abundance Bulk                ,Bulk                          ,poultry seasoning og,49786,Abundance Bulk                ,6868
premium semi-sweet chocolate chips,9441,6006,0.9826608,Abundance Bulk                ,Bulk                          ,poultry seasoning og,49786,Abundance Bulk                ,6868
pumpkin danish,1033647,11430,1.0000002,Abundance Bakery              ,Bakery                        ,pumpkin pie spice og,49790,Abundance Bakery              ,11419
organic chinese broccoli gai lan,59051,94548,0.97954285,Produce                       ,Produce                       ,raspberry leaf og,30702,Produce                       ,93082
organic broccoli leaves,50355,94059,0.98124945,Produce                       ,Produce                       ,raspberry leaf og,30702,Produce                       ,93082
organic green madeley kale,46730,94896,0.96574044,Stick-n-Stone Farm            ,Produce                       ,raspberry leaf og,30702,Produce                       ,93082
organic endive frisee,41176,93167,0.9612084,Produce                       ,Produce                       ,raspberry leaf og,30702,Produce                       ,93082
organic mustard greens,28344,94616,0.9624828,Produce                       ,Produce                       ,raspberry leaf og,30702,Produce                       ,93082
organic extra virgin olive oil,553314,8.15E+11,0.97838616,Jovial                        ,Packaged Grocery              ,organic crushed red chili pepper,43070,Kouzini                       ,8.59E+11
thyme olive oil,519825,13300,0.96575934,Cosimano e Ferrari            ,Packaged Grocery              ,organic crushed red chili pepper,43070,Kouzini                       ,8.59E+11
medium extra virgin olive oil,315739,8.51E+11,0.98136896,California Olive Ranch        ,Packaged Grocery              ,organic crushed red chili pepper,43070,Kouzini                       ,8.59E+11
black garlic tamari balsamic vinegar,214371,13251,0.96409523,Cosimano e Ferrari            ,Packaged Grocery              ,organic crushed red chili pepper,43070,Kouzini                       ,8.59E+11
garlic balsamic vinegar,214370,13250,0.96647406,Cosimano e Ferrari            ,Packaged Grocery              ,organic crushed red chili pepper,43070,Kouzini                       ,8.59E+11
cronut,486078,11360,0.9837445,Amazing Grains Bread Co       ,Packaged Grocery              ,ground spanish smoked paprika,49796,Monks' Bread                  ,41678777825
hearty flaxseed bread,1318956,31711000409,0.96404827,Heidelberg                    ,Packaged Grocery              ,organic wheat grass powder,49797,Monks' Bread                  ,41678429861
sourdough slc bread,1167783,7.38E+11,0.9602907,Al Cohen's                    ,Packaged Grocery              ,organic wheat grass powder,49797,Monks' Bread                  ,41678429861
seedless rye bread,1167782,7.38E+11,0.98622435,Al Cohen's                    ,Packaged Grocery              ,organic wheat grass powder,49797,Monks' Bread                  ,41678429861
seeded rye bread,1167781,7.38E+11,0.9888051,Al Cohen's                    ,Packaged Grocery              ,organic wheat grass powder,49797,Monks' Bread                  ,41678429861
ciabatta bread,585875,7.92E+11,0.97651625,Das Brot                      ,Packaged Grocery              ,organic wheat grass powder,49797,Monks' Bread                  ,41678429861
hearty flaxseed bread,1318956,31711000409,0.96364546,Heidelberg                    ,Packaged Grocery              ,cloves whole,49799,Monks' Bread                  ,41678140322
sourdough slc bread,1167783,7.38E+11,0.963969,Al Cohen's                    ,Packaged Grocery              ,cloves whole,49799,Monks' Bread                  ,41678140322
seedless rye bread,1167782,7.38E+11,0.98128545,Al Cohen's                    ,Packaged Grocery              ,cloves whole,49799,Monks' Bread                  ,41678140322
seeded rye bread,1167781,7.38E+11,0.9873369,Al Cohen's                    ,Packaged Grocery              ,cloves whole,49799,Monks' Bread                  ,41678140322
ciabatta bread,585875,7.92E+11,0.9758074,Das Brot                      ,Packaged Grocery              ,cloves whole,49799,Monks' Bread                  ,41678140322
pine forest bar soap,1026632,14114,0.97860706,Goat Isle Soap                ,Body Care                     ,organic fair trade whole nutmeg,49801,Goat Isle Soap                ,11421
cup o' joe bar soap,1026631,14113,0.9739572,Goat Isle Soap                ,Body Care                     ,organic fair trade whole nutmeg,49801,Goat Isle Soap                ,11421
blueberry thyme bar soap,1026630,14112,0.97097456,Goat Isle Soap                ,Body Care                     ,organic fair trade whole nutmeg,49801,Goat Isle Soap                ,11421
summer citrus bar soap,586007,84663,0.9637199,Goat Isle Soap                ,Body Care                     ,organic fair trade whole nutmeg,49801,Goat Isle Soap                ,11421
peach prosecco bar soap,586006,16546,0.98726743,Goat Isle Soap                ,Body Care                     ,organic fair trade whole nutmeg,49801,Goat Isle Soap                ,11421
exfoliating pink clay bar soap,1245002,8.50E+11,0.9614357,Butter & Lye                  ,Body Care                     ,organic whole yellow mustard seeds,49802,Goat Isle Soap                ,11422
cup o' joe bar soap,1026631,14113,0.9602695,Goat Isle Soap                ,Body Care                     ,organic whole yellow mustard seeds,49802,Goat Isle Soap                ,11422
peach prosecco bar soap,586006,16546,0.9723884,Goat Isle Soap                ,Body Care                     ,organic whole yellow mustard seeds,49802,Goat Isle Soap                ,11422
champagne + strawberries soap,586005,49818,0.96523196,Goat Isle Soap                ,Body Care                     ,organic whole yellow mustard seeds,49802,Goat Isle Soap                ,11422
lilac bar soap,586004,65465,0.9702648,Goat Isle Soap                ,Body Care                     ,organic whole yellow mustard seeds,49802,Goat Isle Soap                ,11422
unscented shampoo bar,1245032,6.28E+11,0.98349977,,Body Care                     ,yakima applewood smoked salt,49804,Goat Isle Soap                ,11424
grapefruit rosemary shampoo bar,452277,13213,0.96307474,Avital's Apiaries             ,Body Care                     ,yakima applewood smoked salt,49804,Goat Isle Soap                ,11424
tea tree & propolis shampoo bar,105031,8.59E+11,0.9699118,Avital's Apiaries             ,Body Care                     ,yakima applewood smoked salt,49804,Goat Isle Soap                ,11424
vanilla mint shampoo bar,67902,8.59E+11,0.9706148,Avital's Apiaries             ,Body Care                     ,yakima applewood smoked salt,49804,Goat Isle Soap                ,11424
dark lavender shampoo bar,59277,8.59E+11,0.9829923,Avital's Apiaries             ,Body Care                     ,yakima applewood smoked salt,49804,Goat Isle Soap                ,11424
exfoliating pink clay bar soap,1245002,8.50E+11,0.9653686,Butter & Lye                  ,Body Care                     ,citric acid,49805,Goat Isle Soap                ,11425
pine forest bar soap,1026632,14114,0.9628407,Goat Isle Soap                ,Body Care                     ,citric acid,49805,Goat Isle Soap                ,11425
cup o' joe bar soap,1026631,14113,0.9703146,Goat Isle Soap                ,Body Care                     ,citric acid,49805,Goat Isle Soap                ,11425
blueberry thyme bar soap,1026630,14112,0.9737313,Goat Isle Soap                ,Body Care                     ,citric acid,49805,Goat Isle Soap                ,11425
summer citrus bar soap,586007,84663,0.9603962,Goat Isle Soap                ,Body Care                     ,citric acid,49805,Goat Isle Soap                ,11425
lemonade og,54883,36192123388,0.9877071,Santa Cruz                    ,Packaged Grocery              ,coarse himalayan pink salt,49807,Santa Cruz                    ,36192123678
organic lemonade peach juice,34867,36192122268,0.97847223,Santa Cruz                    ,Packaged Grocery              ,coarse himalayan pink salt,49807,Santa Cruz                    ,36192123678
organic lemonade mango juice,28798,36192122251,0.96398354,Santa Cruz                    ,Packaged Grocery              ,coarse himalayan pink salt,49807,Santa Cruz                    ,36192123678
organic lemonade raspberry juice,11482,36192122473,0.9891397,Santa Cruz                    ,Packaged Grocery              ,coarse himalayan pink salt,49807,Santa Cruz                    ,36192123678
organic lemonade strawberry juice,11481,36192122466,0.9689446,Santa Cruz                    ,Packaged Grocery              ,coarse himalayan pink salt,49807,Santa Cruz                    ,36192123678
fennel bulbs,853398,4515,0.97323155,Mud Creek Farms               ,Produce                       ,coarse sea salt,49833,Andy's Specialty Garlic & Prod,11426
organic garlic 3pk,830444,74574111110,0.9835529,Christopher Ranch             ,Produce                       ,coarse sea salt,49833,Andy's Specialty Garlic & Prod,11426
organic green tomato,670027,94808,0.96278715,Produce                       ,Produce                       ,coarse sea salt,49833,Andy's Specialty Garlic & Prod,11426
organic green meat daikon,452315,96487,0.9738937,Produce                       ,Produce                       ,coarse sea salt,49833,Andy's Specialty Garlic & Prod,11426
organic purple daikon,315716,94599,0.98023915,Produce                       ,Produce                       ,coarse sea salt,49833,Andy's Specialty Garlic & Prod,11426
whole chicken,1351079,611,1,LaBelle Patrimoine            ,Meat                          ,clear vegetarian 00 capsules,28049,Murray's                      ,195
chicken thighs,1318929,198,1,Murray's                      ,Meat                          ,clear vegetarian 00 capsules,28049,Murray's                      ,195
80/20 ground turkey,1037659,97914090289,1,Koch's                        ,Meat                          ,clear vegetarian 00 capsules,28049,Murray's                      ,195
local cube steak,669026,946,1,Plankton Farms                ,Meat                          ,clear vegetarian 00 capsules,28049,Murray's                      ,195
local pork chops,663001,945,1,Plankton Farms                ,Meat                          ,clear vegetarian 00 capsules,28049,Murray's                      ,195
thin crust pizza,1171840,75706304080,0.98591155,Urban Pie Pizza Co            ,Frozen                        ,cereal puffins cinnamon,49887,Cappello's                    ,8.60E+11
supreme brick oven pizza,1165785,7.47E+11,0.9820577,Rao's                         ,Frozen                        ,cereal puffins cinnamon,49887,Cappello's                    ,8.60E+11
roasted vegetable pizza,1165784,7.47E+11,0.9889786,Rao's                         ,Frozen                        ,cereal puffins cinnamon,49887,Cappello's                    ,8.60E+11
8 cheese thin crust pizza,1018589,75706306848,0.97341686,Urban Pie Pizza Co            ,Frozen                        ,cereal puffins cinnamon,49887,Cappello's                    ,8.60E+11
pepperoni burrata pizza,1018587,75706309719,0.96128404,Urban Pie Pizza Co            ,Frozen                        ,cereal puffins cinnamon,49887,Cappello's                    ,8.60E+11
organic green tomato,670027,94808,0.97981834,Produce                       ,Produce                       ,smoke & dagger beer,30611,Bowman Hill Farm              ,94807
organic heirloom tomatoes,661993,94778,0.9880111,Produce                       ,Produce                       ,smoke & dagger beer,30611,Bowman Hill Farm              ,94807
campari tomato cv,586044,6.06E+11,0.97007406,Village Farms                 ,Produce                       ,smoke & dagger beer,30611,Bowman Hill Farm              ,94807
peppery mizuna salad og,486420,8.95E+11,0.96425307,Organic Girl                  ,Produce                       ,smoke & dagger beer,30611,Bowman Hill Farm              ,94807
organic ghost peppers,383164,94720,0.9650816,Produce                       ,Produce                       ,smoke & dagger beer,30611,Bowman Hill Farm              ,94807
gummy sour blast buddies,53465,6.70E+11,1,Smart Sweets                  ,Packaged Grocery              ,super omega-3 enteric coated,49945,Smart Sweets                  ,6.70E+11
chewie fruits sour cherry og,46364,8.54E+11,0.96021104,Torie & Howard                ,Packaged Grocery              ,super omega-3 enteric coated,49945,Smart Sweets                  ,6.70E+11
chewie fruits sour berry og,46363,8.54E+11,0.96021104,Torie & Howard                ,Packaged Grocery              ,super omega-3 enteric coated,49945,Smart Sweets                  ,6.70E+11
organic dark chocolate covered almonds,53602,794,0.97643787,Tierra Farm                   ,Bulk                          ,rhodiola extract,41505,Tierra Farm                   ,6646
organic dark chocolate covered almonds,9469,6902,0.97643787,Tierra Farm                   ,Bulk                          ,rhodiola extract,41505,Tierra Farm                   ,6646
savory herb stuffing mix og,105944,42563605766,0.9626242,Field Day                     ,Packaged Grocery              ,vitamin k2 fish oil,23619,Edward & Sons                 ,43182000598
cornbread stuffing mix og,105941,42563605773,0.9626242,Field Day                     ,Packaged Grocery              ,vitamin k2 fish oil,23619,Edward & Sons                 ,43182000598
gluten free italian bread crumbs,58271,8.56E+11,0.98570067,Aleias                        ,Packaged Grocery              ,vitamin k2 fish oil,23619,Edward & Sons                 ,43182000598
breadcrumbs og lt salt,23620,43182000581,1.0000001,Edward & Sons                 ,Packaged Grocery              ,vitamin k2 fish oil,23619,Edward & Sons                 ,43182000598
panko og,23618,43182000604,1.0000001,Edward & Sons                 ,Packaged Grocery              ,vitamin k2 fish oil,23619,Edward & Sons                 ,43182000598
hidden pictures,1351304,70989107052,0.968063,Hidden Pictures               ,Mercantile                    ,bold vision proactive,50130,Lion's Roar                   ,7.25E+11
plant powered magazine,1319899,14014027458,0.9741477,America's Test Kitchen        ,Mercantile                    ,bold vision proactive,50130,Lion's Roar                   ,7.25E+11
2024 annual cook's illustrated,1318870,14005027450,0.96765757,Cook's Illustrated            ,Mercantile                    ,bold vision proactive,50130,Lion's Roar                   ,7.25E+11
all time best ground beef,1171799,7.23E+11,0.96739954,Cook's Illustrated            ,Mercantile                    ,bold vision proactive,50130,Lion's Roar                   ,7.25E+11
dwell magazine,1164779,71896296471,0.97643924,Dwell                         ,Mercantile                    ,bold vision proactive,50130,Lion's Roar                   ,7.25E+11
pineapple rings,52999,6877,1.0000002,Abundance Bulk                ,Bulk                          ,tampons regular comfort with applicator,50164,Abundance Bulk                ,742
granola lemon blueberry,58088,39978011732,0.9616004,Bob's Red Mill                ,Packaged Grocery              ,coffee filter #2 cone brown,50247,Bob's Red Mill                ,39978001733
white chocolate bar,1245079,8.50E+11,0.9877175,Tony's Chocolonely            ,Packaged Grocery              ,genesee n a  12pk,50235,Chocolove                     ,7.16E+11
dark chocolate nonpareils,1244869,7.70E+11,0.9802562,Lake Champlain Chocolates     ,Packaged Grocery              ,genesee n a  12pk,50235,Chocolove                     ,7.16E+11
gimme toffee,1171850,94922474131,0.9781087,Gimme Coffee                  ,Packaged Grocery              ,genesee n a  12pk,50235,Chocolove                     ,7.16E+11
cherry berry ropes,1171838,8.45E+11,0.98283875,Joyride                       ,Packaged Grocery              ,genesee n a  12pk,50235,Chocolove                     ,7.16E+11
dark chocolate merry mix,1169784,37014325263,0.9821007,Endangered Species            ,Packaged Grocery              ,genesee n a  12pk,50235,Chocolove                     ,7.16E+11
honey rstd pistachios,106304,14113910842,0.9923767,Wonderful                     ,Packaged Grocery              ,edamame vegan gf,50255,Sahale Snacks                 ,8.94E+11
rstd & salted pistachio,106289,14113912549,0.9649676,Wonderful                     ,Packaged Grocery              ,edamame vegan gf,50255,Sahale Snacks                 ,8.94E+11
hazy ipa 12pk,1318961,83783675627,0.9605422,Sierra Nevada                 ,Beer                          ,samosa dumpling,45760,Three Heads Brewing           ,6.53E+11
4 piece pale ale,1318958,8.50E+11,0.96444315,Prison City                   ,Beer                          ,samosa dumpling,45760,Three Heads Brewing           ,6.53E+11
the kind ipa,1318901,6.53E+11,0.9604414,Three Heads Brewing           ,Beer                          ,samosa dumpling,45760,Three Heads Brewing           ,6.53E+11
nitro stout,1244892,8.50E+11,0.96051574,Lawson's Finest Liquids       ,Beer                          ,samosa dumpling,45760,Three Heads Brewing           ,6.53E+11
green dots beer,1171877,8.50E+11,0.9659095,Other Half                    ,Beer                          ,samosa dumpling,45760,Three Heads Brewing           ,6.53E+11
organic fresh rosemary bunch,12153,94903,0.9633376,Produce                       ,Produce                       ,sushi sprouted brown rice ginger,28460,Produce                       ,94503
organic cilantro,12126,94889,0.9605456,Produce                       ,Produce                       ,sushi sprouted brown rice ginger,28460,Produce                       ,94503
collard greens,315714,46144,0.96981126,Andy's Specialty Garlic & Prod,Produce                       ,glass bottle deposit $2,50355,Produce                       ,94059
